date,product_id,category,region,store_format,base_price,cost,price,competitor_price,discount_pct,promo_flag,holiday_flag,inflation_index,unemployment_index,stock,quantity,revenue,margin
2025-04-08,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,57.14,51.95,0.0,0,0,100.91,30.71,173,131,7485.34,2014.7800000000004
2025-04-09,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,58.43,52.49,0.0,0,0,101.79,30.88,139,128,7479.04,2133.76
2025-04-10,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,54.88,55.6,0.0,0,0,100.98,30.8,112,108,5927.04,1416.9600000000005
2025-04-11,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,49.72,54.97,0.0848,0,1,100.85,30.69,215,177,8800.44,1408.92
2025-04-12,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,55.04,52.02,0.0,0,1,101.47,30.87,153,135,7430.4,1792.8000000000002
2025-04-13,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,56.29,54.66,0.0,0,1,101.25,30.75,206,135,7599.15,1961.5500000000002
2025-04-14,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,47.82,52.5,0.1198,1,0,101.33,30.56,196,150,7173.0,909.0000000000003
2025-04-15,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,55.79,51.65,0.0,0,0,101.21,30.6,214,138,7699.0199999999995,1936.14
2025-04-16,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,51.97,54.3,0.0434,1,0,101.23,30.55,193,153,7951.41,1562.13
2025-04-17,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,58.37,53.07,0.0,0,0,100.63,30.68,147,135,7879.95,2242.35
2025-04-18,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,57.27,50.56,0.0,0,1,101.3,30.49,208,128,7330.56,1985.2800000000007
2025-04-19,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,51.3,54.89,0.0558,0,1,100.83,30.46,216,170,8721.0,1621.8
2025-04-20,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,59.15,51.99,0.0,0,1,101.04,30.42,123,123,7275.45,2138.9700000000003
2025-04-21,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,49.24,52.7,0.0938,0,0,101.49,30.4,115,115,5662.6,860.2000000000005
2025-04-22,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,57.34,53.47,0.0,0,0,101.66,30.44,160,122,6995.4800000000005,1900.7600000000007
2025-04-23,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,50.26,52.18,0.075,0,0,101.61,30.45,180,169,8493.94,1436.5
2025-04-24,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,57.56,54.76,0.0,0,0,101.79,30.11,111,111,6389.16,1753.8000000000004
2025-04-25,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,53.21,55.5,0.0206,1,1,102.0,30.24,202,167,8886.07,1912.1500000000005
2025-04-26,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,50.29,51.97,0.0743,1,1,101.1,30.29,193,158,7945.82,1347.7400000000002
2025-04-27,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,50.34,53.56,0.0735,0,1,101.2,30.24,284,176,8859.84,1510.0800000000008
2025-04-28,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,56.57,52.56,0.0,0,0,101.49,30.27,148,138,7806.66,2043.7800000000002
2025-04-29,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,57.78,54.03,0.0,0,0,101.13,30.36,270,162,9360.36,2595.2400000000007
2025-04-30,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,57.48,52.99,0.0,0,0,101.11,30.01,245,145,8334.6,2279.3999999999996
2025-05-01,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,49.23,53.03,0.0939,0,0,100.99,30.22,213,183,9009.09,1367.0099999999998
2025-05-02,SKU001,Beverages,Gauteng,Hyper,54.33,41.76,52.93,52.39,0.0258,0,0,100.84,29.83,275,190,10056.7,2122.3
2025-05-03,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,51.19,55.14,0.0579,0,0,100.86,29.99,268,174,8907.06,1640.82
2025-05-04,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,54.25,53.38,0.0015,0,0,101.77,30.1,197,173,9385.25,2160.7700000000004
2025-05-05,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,51.7,54.45,0.0484,0,0,101.02,30.07,153,153,7910.1,1520.8200000000008
2025-05-06,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,49.7,53.41,0.0853,0,0,101.73,29.76,123,123,6113.1,976.6200000000006
2025-05-07,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,50.72,52.49,0.0665,0,0,101.59,29.75,176,153,7760.16,1370.88
2025-05-08,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,50.11,54.46,0.0776,0,0,102.03,29.88,179,148,7416.28,1235.8000000000002
2025-05-09,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,54.41,53.54,0.0,0,0,101.37,29.74,193,136,7399.759999999999,1720.3999999999999
2025-05-10,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,49.22,54.5,0.094,0,0,101.53,29.74,183,183,9007.26,1365.18
2025-05-11,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,50.82,55.58,0.0646,0,0,101.52,29.74,183,130,6606.6,1177.8000000000002
2025-05-12,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,55.1,54.34,0.0,0,0,101.6,29.96,230,156,8595.6,2081.0400000000004
2025-05-13,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,57.4,55.47,0.0,0,0,101.23,29.83,206,131,7519.4,2048.84
2025-05-14,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,57.18,54.77,0.0,0,0,101.6,29.91,197,130,7433.4,2004.6000000000001
2025-05-15,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,53.77,52.42,0.0103,0,0,101.1,29.48,162,150,8065.500000000001,1801.5000000000007
2025-05-16,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,53.93,56.32,0.0073,0,0,101.09,29.86,168,146,7873.78,1776.8200000000002
2025-05-17,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,54.7,56.18,0.0,0,0,101.15,29.43,181,119,6509.3,1539.8600000000006
2025-05-18,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,58.97,54.48,0.0,0,0,101.68,29.6,112,97,5720.09,1669.3700000000001
2025-05-19,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,55.53,50.76,0.0,0,0,101.81,29.51,130,130,7218.900000000001,1790.1000000000004
2025-05-20,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,54.6,54.74,0.0,0,0,101.82,29.43,162,126,6879.6,1617.8400000000004
2025-05-21,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,55.78,52.91,0.0,0,0,101.96,29.54,131,106,5912.68,1486.1200000000003
2025-05-22,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,53.36,51.75,0.0178,0,0,101.72,29.6,124,116,6189.76,1345.6000000000001
2025-05-23,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,53.81,54.23,0.0096,0,0,102.11,29.37,100,100,5381.0,1205.0000000000005
2025-05-24,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,54.84,56.47,0.0,0,0,101.67,29.65,114,114,6251.76,1491.1200000000006
2025-05-25,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,56.69,51.53,0.0,0,0,101.71,29.33,125,93,5272.17,1388.49
2025-05-26,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,52.75,52.7,0.029,0,0,102.09,29.25,150,143,7543.25,1571.5700000000004
2025-05-27,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,45.08,54.59,0.1703,1,0,101.92,29.41,320,233,10503.64,773.5600000000001
2025-05-28,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,50.8,53.97,0.0649,0,0,102.21,29.45,204,150,7620.0,1355.9999999999998
2025-05-29,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,58.97,55.61,0.0,0,0,101.41,29.52,146,133,7843.01,2288.9300000000003
2025-05-30,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,48.82,54.08,0.1014,1,0,101.22,29.5,169,147,7176.54,1037.8200000000004
2025-05-31,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,52.37,52.71,0.0361,1,0,101.33,29.16,184,178,9321.859999999999,1888.58
2025-06-01,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,59.68,55.2,0.0,0,0,101.19,29.26,168,127,7579.36,2275.84
2025-06-02,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,57.48,54.28,0.0,0,0,101.95,29.2,166,150,8622.0,2358.0
2025-06-03,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,55.86,53.83,0.0,0,0,101.62,29.22,185,147,8211.42,2072.7000000000003
2025-06-04,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,53.23,53.86,0.0203,0,0,102.12,29.28,133,117,6227.91,1341.9899999999998
2025-06-05,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,51.78,54.7,0.0469,1,0,101.41,29.18,128,128,6627.84,1282.5600000000004
2025-06-06,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,49.56,52.28,0.0877,0,0,101.88,28.96,206,176,8722.560000000001,1372.8000000000006
2025-06-07,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,43.0,53.18,0.2085,1,0,102.18,29.05,214,199,8557.0,246.7600000000004
2025-06-08,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,47.58,55.38,0.1242,1,0,101.87,29.29,124,124,5899.92,721.6800000000001
2025-06-09,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,49.02,55.08,0.0978,0,0,101.69,29.22,80,80,3921.6000000000004,580.8000000000004
2025-06-10,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,47.97,52.24,0.1171,1,0,101.8,28.9,183,183,8778.51,1136.43
2025-06-11,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,53.89,51.24,0.0081,0,0,101.76,28.85,172,137,7382.93,1661.8100000000004
2025-06-12,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,49.31,54.94,0.0923,0,0,101.6,29.31,155,130,6410.3,981.5000000000006
2025-06-13,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,49.62,56.37,0.0867,0,0,102.07,29.21,136,111,5507.82,872.4599999999999
2025-06-14,SKU001,Beverages,Gauteng,Hyper,54.33,41.76,52.7,51.67,0.0301,0,0,101.7,29.03,194,142,7483.400000000001,1553.4800000000007
2025-06-15,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,51.78,55.01,0.047,0,0,102.17,29.16,208,138,7145.64,1382.7600000000004
2025-06-16,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,49.35,54.58,0.0916,0,0,102.23,29.05,256,166,8192.1,1259.9400000000005
2025-06-17,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,58.98,52.49,0.0,0,0,102.38,28.9,105,105,6192.9,1808.1
2025-06-18,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,52.0,54.34,0.0428,0,0,101.79,28.9,194,151,7852.0,1546.2400000000002
2025-06-19,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,58.05,56.44,0.0,0,0,101.94,28.89,163,118,6849.9,1922.2199999999998
2025-06-20,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,54.39,52.99,0.0,0,0,101.99,28.82,171,129,7016.31,1629.2700000000004
2025-06-21,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,56.38,51.0,0.0,0,0,102.1,28.99,182,129,7273.02,1885.9800000000005
